employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
ECHO NEUROTECHNOLOGIES CORPORATION,Echo Neurotechnologies Corporation,1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,CA,San Francisco,249995,249995,249995
FLORIDA INSTITUTE OF TECHNOLOGY,Florida Institute of Technology,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,FL,Melbourne,70000,70000,70000
FORD MOTOR COMPANY,FORD MOTOR COMPANY,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,MI,Dearborn,104770,104770,104770
GEORGIA INSTITUTE OF TECHNOLOGY,Georgia Institute of Technology,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,GA,Atlanta,75000,75000,75000
GEORGIA STATE UNIVERSITY,Georgia State University,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,GA,Atlanta,60965,60965,60965
GOOGLE,Google LLC,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,CA,Los Angeles,162000,162000,162000
H2O AI,"H2O.ai, Inc.",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,NJ,Hoboken,130000,130000,130000
HONDA RESEARCH INSTITUTE USA,"Honda Research Institute USA, Inc.",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,CA,San Jose,152300,152300,152300
HOUSTON ADVANCED RESEARCH CENTER HARC,Houston Advanced Research Center (HARC),1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TX,The Woodlands,80036,80036,80036
INFERACT,"Inferact, Inc.",1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,CA,Berkeley,96678,96678,96678
INFOBLOX,Infoblox Inc.,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,CA,Santa Clara,128000,128000,128000
JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,1,1,FY2026Q1,no,15-1221,Computer and Information Research Scientists,MD,Baltimore,115000,115000,115000
KLA CORPORATION,KLA Corporation,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,CA,Milpitas,190000,190000,190000
LAWRENCE LIVERMORE NATIONAL SECURITY,"Lawrence Livermore National Security, LLC",1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TX,Austin,135056,135056,135056
LOUISIANA STATE UNIVERSITY AND A M COLLEGE,Louisiana State University and A&M College,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,LA,Baton Rouge,92700,92700,92700
MAGICBYTE AI,"MagicByte AI, Inc.",1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,AZ,Chandler,110240,110240,110240
METHODIST LE BONHEUR HEALTHCARE,Methodist Le Bonheur Healthcare,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TN,Memphis,88691,88691,88691
MITCHELL INTERNATIONAL,MITCHELL INTERNATIONAL INC.,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,VA,Fairfax,120000,120000,120000
NASTERQUEST,NasterQuest Inc,1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,TX,Northlake,128960,128960,128960
NEC LABORATORIES AMERICA,"NEC Laboratories America, Inc.",1,1,FY2025Q4,no,15-1221,Computer and Information Research Scientists,NJ,Princeton,145900,145900,145900
