employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
SUMMIT GROUP CPAS P C,Summit Group CPAs P.C.,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,New York,73070.0,73070.0,73070.0
SUNSOFT SERVICES,SUNSOFT SERVICES INC,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,NJ; NY,JERSEY CITY; NEW YORK,74880.0,74880.0,74880.0
TAAD LLP,TAAD LLP,2,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Diamond Bar,70999.0,73499.0,75999.0
TCRCURE BIOPHARMA,TCRCURE BIOPHARMA CORP.,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Los Angeles,66528.0,66528.0,66528.0
THE WOLF GROUP PC,"The Wolf Group, PC",2,1,FY2026Q1,no,13-2011,Accountants and Auditors,VA,Fairfax,69139.0,69139.0,69139.0
TRANSGLOBAL INSURANCE AGENCY,"TransGlobal Insurance Agency, Inc.",2,1,FY2025Q4,no,13-2011,Accountants and Auditors,NC; WA,Bellevue; Cary,60195.0,66654.0,73112.0
UNIVERSITY COMMUNITY HOSPITAL,"University Community Hospital, Inc.",2,1,FY2025Q4,no,13-2011,Accountants and Auditors,FL,Tampa,58843.0,58843.0,58843.0
UNIVERSITY OF NEW MEXICO,University of New Mexico,2,1,FY2026Q1,no,13-2011,Accountants and Auditors,NM,"Albuquerque; Albuquerque,",55162.0,63195.0,71227.0
WATSONRICE LLP,WATSONRICE LLP,2,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,New York,73100.0,73100.0,73100.0
2365 MINI MART,2365 Mini Mart LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,GA,Marietta,60000.0,60000.0,60000.0
80 WYTHE,80 Wythe LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Brooklyn,80000.0,80000.0,80000.0
8IFINITY,8ifinity LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York,75000.0,75000.0,75000.0
AA SA ENTERPRISES,AA & SA ENTERPRISES INC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,HOUSTON,60500.0,60500.0,60500.0
ACCLARITY,Acclarity,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,South Pasadena,63211.0,63211.0,63211.0
ACCUTAX SERVICES,Accutax Services Inc.,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Rowland Heights,64917.0,64917.0,64917.0
ADAMS COUNTY PUBLIC HOSPITAL DISTRICT NO 2,Adams County Public Hospital District No. 2,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,WA,Ritzville,75587.0,75587.0,75587.0
ADVENTURES IN MONTESSORI,Adventures in Montessori LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,MA,Jamaica Plain,72800.0,72800.0,72800.0
AIMSUN,Aimsun Inc.,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,New York City,88000.0,88000.0,88000.0
ALLIED TECHNOLOGY,Allied Technology Inc,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,MI,Romulus,58136.0,58136.0,58136.0
ALVAREZ MARSAL TAX,"Alvarez & Marsal Tax, LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TX,Houston,77250.0,77250.0,77250.0
AMAX ENGINEERING CORPORATION,Amax Engineering Corporation,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,Fremont,86000.0,86000.0,86000.0
AMC CORPORATION,AMC Corporation,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,CA,San Jose,95000.0,95000.0,95000.0
AMERICAN RESIDENTIAL SERVICES,"American Residential Services, LLC",1,1,FY2025Q4,no,13-2011,Accountants and Auditors,TN,Memphis,57179.0,57179.0,57179.0
AMICA SOFTWARE,Amica Software Inc.,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,CA,Irvine,65000.0,65000.0,65000.0
AMY CAI CPA,Amy Cai CPA Inc,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,MA,North Andover,70100.0,70100.0,70100.0
APEX HEALTHCARE PARTNERS II,Apex Healthcare Partners II LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NY,Brooklyn,75000.0,75000.0,75000.0
APEX LOGISTICS INTERNATIONAL,"Apex Logistics International, Inc.",1,1,FY2026Q1,no,13-2011,Accountants and Auditors,IL,Bensenville,61152.0,61152.0,61152.0
ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,NY,PITTSFORD,58406.0,58406.0,58406.0
AS TRANS,AS Trans Inc.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,IL,Blue Island,61152.0,61152.0,61152.0
ASCEND PARTNERS SERVICES,Ascend Partners Services LLC,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,FL,Weston,60000.0,60000.0,60000.0
ASSET MANAGEMENT ANALYST,Asset Management & Analyst Corp.,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NJ,Somerset,73070.0,73070.0,73070.0
ASSOCIATE PHARM,Associate Pharm Corp,1,1,FY2025Q4,no,13-2011,Accountants and Auditors,NJ,Metuchen,73320.0,73320.0,73320.0
AUBURN UNIVERSITY AT MONTGOMERY,Auburn University at Montgomery,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,AL,Montgomery,79800.0,79800.0,79800.0
AURORA EXPEDITIONS,Aurora Expeditions LLC,1,1,FY2026Q1,no,13-2011,Accountants and Auditors,AK,Fairbanks,63000.0,63000.0,63000.0
