QUARTER,EMPLOYER_NAME,EMP_NORM,SOC7,SOC_TITLE,JOB_TITLE,WORKSITE_CITY,WORKSITE_STATE,WAGE_ANNUAL,VISA_CLASS
FY2025Q1,HMC ENTERPRISES LLC,HMC ENTERPRISES,27-1021,Commercial and Industrial Designers,Industrial Designer,Philadelphia,PA,60000.0,H-1B
FY2025Q1,Barlow Designs Inc.,BARLOW DESIGNS,27-1024,Graphic Designers,Graphic Designer,E Providence,RI,47840.0,H-1B
FY2025Q1,DEE JING INC dba KUU,DEE JING INC DBA KUU,27-1024,Graphic Designers,Graphic Designer,New York,NY,56000.0,H-1B
FY2025Q1,Paramount Tax and Acctg CPAs PC,PARAMOUNT TAX AND ACCTG CPAS,27-1024,Graphic Designers,Graphic Designer,Draper,UT,41309.0,E-3 Australian
FY2025Q1,Zymebalanz LLC,ZYMEBALANZ,27-1021,Commercial and Industrial Designers,UI Designer,Santa Clara,CA,83699.0,H-1B
FY2025Q1,Temkin International Inc.,TEMKIN INTERNATIONAL,27-1024,Graphic Designers,Graphic Designer,Payson,UT,37440.0,H-1B
FY2025Q1,Weill Cornell Medical College,WEILL CORNELL MEDICAL COLLEGE,15-1255,Web and Digital Interface Designers,Web Support Specialist,New York,NY,70541.0,H-1B
FY2025Q1,Afuri New York LLC,AFURI NEW YORK,27-1024,Graphic Designers,Graphic Designer,Great Neck,NY,51600.0,H-1B
FY2025Q1,Electronic Arts Inc.,ELECTRONIC ARTS,27-1024,Graphic Designers,Associate Concept Artist,Chatsworth,CA,72768.0,H-1B
FY2025Q1,Monospace Inc,MONOSPACE,15-1255,Web and Digital Interface Designers,Designer,Brooklyn,NY,100000.0,H-1B
FY2025Q1,A L Diamond Home Products LLC,A L DIAMOND HOME PRODUCTS,27-1021,Commercial and Industrial Designers,Industrial Designer,New York,NY,70000.0,H-1B
FY2025Q1,"JAM CITY, INC.",JAM CITY,15-1255,Video Game Designers,Game Designer,Culver City,CA,84510.4,H-1B
FY2025Q1,Amazon.com Services LLC,AMAZON COM SERVICES,27-1024,Graphic Designers,UX Designer I,Santa Clara,CA,111800.0,H-1B
FY2025Q3,"ESSEX MEDIA GROUP, INC. ",ESSEX MEDIA GROUP,27-1024,Graphic Designers,Graphic Designer,LYNN,MA,50585.6,H-1B
FY2025Q3,"CRYSTAL PROJECT, INC.",CRYSTAL PROJECT,15-1255,Web and Digital Interface Designers,DESIGN SPECIALIST,COLUMBUS,OH,81250.0,H-1B
FY2025Q3,"Future Finance Finder Management Consulting Service, Inc.",FUTURE FINANCE FINDER MANAGEMENT CONSULTING SERVICE,27-1024,Graphic Designers,Graphic Designers,New York,NY,54000.0,H-1B
FY2025Q3,"Utila Legend, LLC",UTILA LEGEND,27-1021,Commercial and Industrial Designers,Design Engineer,Troy,MI,49920.0,H-1B
FY2025Q3,Morphing Program Co,MORPHING PROGRAM,27-1021,Commercial and Industrial Designers,Computational Design Researcher,Cambridge,MA,65000.0,H-1B
FY2025Q3,Feiya America Inc.,FEIYA AMERICA,15-1255,Web and Digital Interface Designers,E-Commerce Engineer,Medley,FL,50336.0,H-1B
FY2025Q3,"Lime Valley Advertising, Inc.",LIME VALLEY ADVERTISING,15-1255,Web and Digital Interface Designers,Web Designer,Mankato,MN,54000.0,H-1B
FY2025Q3,Traini Inc.,TRAINI,15-1255,Web and Digital Interface Designers,Junior Designer,Sacramento,CA,60320.0,H-1B
FY2025Q3,ROBOTICS TECHNOLOGIES LLC,ROBOTICS TECHNOLOGIES,15-1255,Web and Digital Interface Designers,SENIOR PRODUCT DESIGNER,HURST,TX,60000.0,H-1B
FY2025Q3,"CANVAS INFOTECH, INC.",CANVAS INFOTECH,15-1255,Web and Digital Interface Designers,Product Designer,Fremont,CA,91894.4,H-1B
FY2025Q3,DEMETER MILLWORK LLC,DEMETER MILLWORK,27-1021,Commercial and Industrial Designers,MILLWORK ENGINEERING DRAFTSPERSON,CHICAGO,IL,51542.0,H-1B
FY2025Q3,"American Technology Consulting, LLC",AMERICAN TECHNOLOGY CONSULTING,15-1255,Web and Digital Interface Designers,UX Designer,West Des Moines,IA,60000.0,H-1B
FY2025Q3,"Gatorwraps, Inc.",GATORWRAPS,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Ontario,CA,50190.0,H-1B
FY2025Q3,"First Fun, Inc.",FIRST FUN,15-1255,Video Game Designers,Game Developer,San Jose,CA,114462.0,H-1B
FY2025Q3,"unPLUG Dining, Inc.",UNPLUG DINING,15-1255,Web and Digital Interface Designers,Full Stack Engineer,New York City,NY,73382.0,H-1B
FY2025Q3,The Skyscraper Museum,SKYSCRAPER MUSEUM,27-1024,Graphic Designers,Graphic Designer,New York,NY,51542.4,H-1B
FY2025Q3,Madwell LLC,MADWELL,27-1024,Graphic Designers,Graphic Designer,Brooklyn,NY,62400.0,H-1B
FY2025Q3,CLEAR LASER SKIN CLINIC LLC,CLEAR LASER SKIN CLINIC,27-1024,Graphic Designers,Graphic Designer,FORT LEE,NJ,51542.0,H-1B
FY2025Q3,"Environmental Systems Research Institute, Inc.",ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE,15-1255,Web and Digital Interface Designers,Product Designer,Redlands,CA,112361.6,H-1B
FY2025Q3,KAIZEN TECHNOLOGIES INC.,KAIZEN TECHNOLOGIES,27-1024,Graphic Designers,GRAPHIC DESIGN COORDINATOR,SUNNYVALE,CA,70000.0,H-1B
FY2025Q3,Peblla Inc.,PEBLLA,15-1255,Web and Digital Interface Designers,Web & Digital Interface Designer,Rockville,MD,52811.200000000004,H-1B
FY2025Q3,Petite Keeper LLC,PETITE KEEPER,27-1021,Commercial and Industrial Designers,Mechanical Design & Engineering Lead,San Francisco,CA,68000.0,H-1B
FY2025Q3,Peblla Inc.,PEBLLA,15-1255,Web and Digital Interface Designers,Web Developer,Rockville,MD,52811.200000000004,H-1B
FY2025Q3,"Hauslane, Inc.",HAUSLANE,27-1024,Graphic Designers,Visual Designer,South San Francisco,CA,64375.200000000004,H-1B
FY2025Q3,"Gaston Walsh Law Group, LLC",GASTON WALSH LAW GROUP,27-1024,Graphic Designers,Graphic Designer,Glendale,AZ,60000.0,H-1B
FY2025Q3,Tanera Transport LLC,TANERA TRANSPORT,27-1024,Graphic Designers,Marketing Content Specialist,Diamond Bar,CA,48692.8,H-1B
FY2025Q3,"Logging-in.com, LLC",LOGGING-IN COM,15-1255,Web and Digital Interface Designers,UI/UX Designer,Denton,TX,60000.0,H-1B
FY2025Q3,Ikon Windows LLC,IKON WINDOWS,27-1024,Graphic Designers,Content Creator,Brooklyn,NY,65000.0,H-1B
FY2025Q3,Sauder Woodworking Co.,SAUDER WOODWORKING,27-1021,Commercial and Industrial Designers,Product Designer,Archbold,OH,57000.0,H-1B
FY2025Q3,Ronbow Corporation,RONBOW,27-1021,Commercial and Industrial Designers,Industrial Designer,Livermore,CA,67433.6,H-1B
FY2025Q3,Yarbo International Inc.,YARBO INTERNATIONAL,27-1021,Commercial and Industrial Designers,Industrial Designer,Ronkonkoma,NY,56826.0,H-1B
FY2025Q3,OSHIN AUTOMATION & ROBOTICS LLC,OSHIN AUTOMATION & ROBOTICS,27-1021,Commercial and Industrial Designers,Industrial Designer,Tuscaloosa,AL,56600.0,H-1B
FY2025Q3,"KWIK EQUIPMENT SALES, LLC",KWIK EQUIPMENT SALES,27-1021,Commercial and Industrial Designers,Mechanical Design Engineer,Pearland,TX,60000.0,H-1B
FY2025Q3,OSHIN AUTOMATION & ROBOTICS LLC,OSHIN AUTOMATION & ROBOTICS,27-1021,Commercial and Industrial Designers,Industrial Designer,Tuscaloosa,AL,56600.0,H-1B
FY2025Q3,Walnut AI Inc.,WALNUT AI,15-1255,Web and Digital Interface Designers,UI/UX Designer,Sunnyvale,CA,114462.40000000001,H-1B
FY2025Q3,Board of Regents of the University of Nebraska,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,27-1024,Graphic Designers,Graphics Specialist,Lincoln,NE,50128.0,H-1B
FY2025Q3,Noviland Technologies Inc.,NOVILAND TECHNOLOGIES,27-1021,Commercial and Industrial Designers,Commercial and Industrial Designer,Duluth,GA,55000.0,H-1B
FY2025Q3,"Century Plastics, LLC",CENTURY PLASTICS,27-1024,Graphic Designers,Graphic Designer,Shelby Township,MI,50000.0,H-1B
FY2025Q3,C Tekk Solutions Inc,C TEKK SOLUTIONS,15-1255,Web and Digital Interface Designers,Web Architect,Dallas,TX,51438.0,H-1B
FY2025Q3,"Utila Legend, LLC",UTILA LEGEND,27-1021,Commercial and Industrial Designers,Design Engineer,Troy,MI,49108.799999999996,H-1B
FY2025Q3,"Tech-Net, Inc.",TECH-NET,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Folsom,CA,63627.0,H-1B
FY2025Q3,Welldoc Inc.,WELLDOC,15-1255,Web and Digital Interface Designers,UI/UX Designer,San Francisco,CA,91894.0,H-1B
FY2025Q3,OZ STEEL INC,OZ STEEL,27-1021,Commercial and Industrial Designers,DESIGNER,BROOKLYN,NY,57000.0,H-1B
FY2025Q3,"Akraya, Inc.",AKRAYA,15-1255,Web and Digital Interface Designers,Interaction Designer,Mountain View,CA,118872.0,H-1B
FY2025Q3,Mindsprint Inc.,MINDSPRINT,15-1255,Web and Digital Interface Designers,Designer,Morristown,NJ,73382.0,H-1B
FY2025Q3,JDX Studio LLC,JDX STUDIO,15-1255,Web and Digital Interface Designers,Creative Technologist,New York,NY,73382.0,H-1B
FY2025Q3,"Crocs, Inc.",CROCS,27-1021,Commercial and Industrial Designers,Associate Product Developer,Broomfield,CO,82000.0,H-1B
FY2025Q3,"People Tech Group, Inc",PEOPLE TECH GROUP,15-1255,Web and Digital Interface Designers,IT Consultant(UX Designer),Redmond,WA,75899.0,H-1B
FY2025Q3,MAI Reality Inc,MAI REALITY,27-1024,Graphic Designers,Graphic designer,SAN FRANCISCO,CA,56160.0,H-1B
FY2025Q3,Sibel Health Inc.,SIBEL HEALTH,27-1021,Commercial and Industrial Designers,Visual Designer,Chicago,IL,57000.0,H-1B
FY2025Q3,Y&L TRADING LLC,Y&L TRADING,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Bothell,WA,76960.0,H-1B
FY2025Q3,EVEREST COMPUTERS INC,EVEREST COMPUTERS,15-1255,Web and Digital Interface Designers,UI/UX Designer,Roswell,GA,65000.0,H-1B
FY2025Q3,"DreamCraft Entertainment, Inc.",DREAMCRAFT ENTERTAINMENT,27-1024,Graphic Designers,Graphic Designer,Redwood City,CA,60000.0,H-1B
FY2025Q3,Bahwan Cybertek Inc.,BAHWAN CYBERTEK,15-1255,Web and Digital Interface Designers,Web & Digital Interface Designer,Birmingham,AL,65000.0,H-1B
FY2025Q3,Andoryn Design LLC,ANDORYN DESIGN,27-1024,Graphic Designers,Graphic Designer,Savannah,GA,32781.0,H-1B
FY2025Q3,Food Terminal Sandy Springs Inc,FOOD TERMINAL SANDY SPRINGS,27-1024,Graphic Designers,Graphic Designer,Sandy Springs,GA,50000.0,H-1B
FY2025Q3,JOOL PRODUCTS LLC,JOOL PRODUCTS,27-1021,Commercial and Industrial Designers,Industrial Designer,Lakewood,NJ,58000.0,H-1B
FY2025Q3,Digital Mobile Innovations LLC,DIGITAL MOBILE INNOVATIONS,27-1024,Graphic Designers,UX Designer,McLean,VA,100000.0,H-1B
FY2025Q3,HANOMI INC,HANOMI,15-1255,Web and Digital Interface Designers,WEB DESIGNER,SAN FRANCISCO,CA,91894.0,H-1B
FY2025Q3,"Antra, Inc.",ANTRA,15-1255,Web and Digital Interface Designers,Web Design Specialist,Sterling,VA,60000.0,H-1B
FY2025Q3,Sinexcel Inc.,SINEXCEL,27-1021,Commercial and Industrial Designers,Business Development Designer,Irvine,CA,54891.0,H-1B
FY2025Q3,Ellipsis Travel LLC,ELLIPSIS TRAVEL,15-1255,Web and Digital Interface Designers,User Experience Designer,Saint Louis,MO,70000.0,H-1B
FY2025Q3,Luxe Kitchen and Bath LLC,LUXE KITCHEN AND BATH,27-1024,Graphic Designers,Graphic Designer,Seattle,WA,52686.399999999994,H-1B
FY2025Q3,Tega Design LLC,TEGA DESIGN,27-1021,Commercial and Industrial Designers,Design Engineer,Kearny,NJ,56825.6,H-1B
FY2025Q3,The Skyscraper Museum,SKYSCRAPER MUSEUM,27-1024,Graphic Designers,Graphic Designer,New York,NY,51542.4,H-1B
FY2025Q3,STARWARD GAME STUDIOS LLC,STARWARD GAME STUDIOS,15-1255,Web and Digital Interface Designers,Designer,Albany,CA,91894.4,H-1B
FY2025Q3,ACG GO LLC,ACG GO,27-1024,Graphic Designers,Graphic Designer,Tempe,AZ,41267.0,H-1B
FY2025Q3,HIC STONE US INCORPORATION,HIC STONE US INCORPORATION,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Hayward,CA,91894.0,H-1B
FY2025Q3,Jool Products LLC,JOOL PRODUCTS,27-1021,Commercial and Industrial Designers,Industrial Designer,Lakewood,NJ,58000.0,H-1B
FY2025Q3,Riothy LLC,RIOTHY,15-1255,Web and Digital Interface Designers,UX Engineer,LOS ANGELES,CA,62000.0,H-1B
FY2025Q3,MDLand International Corporation,MDLAND INTERNATIONAL,15-1255,Web and Digital Interface Designers,UX/UI Designer,Great Neck,NY,73382.0,H-1B
FY2025Q3,"BlockCarbon, Inc.",BLOCKCARBON,27-1024,Graphic Designers,Graphic Designer,Cambridge,MA,50585.6,H-1B
FY2025Q3,Smiths Interconnect Americas Inc.,SMITHS INTERCONNECT AMERICAS,27-1021,Commercial and Industrial Designers,Engineer II Mechanical,Irving,TX,55494.0,H-1B
FY2025Q3,J ADORE OFFICIAL CORP.,J ADORE OFFICIAL,27-1021,Commercial and Industrial Designers,Toy Designer,Emeryville,CA,68640.0,H-1B
FY2025Q3,Deloitte Consulting LLP,DELOITTE CONSULTING,15-1255,Web and Digital Interface Designers,Consultant,Philadelphia,PA,52416.0,H-1B
FY2025Q3,"Kitchen & Bath Design Group, LLC",KITCHEN & BATH DESIGN GROUP,27-1021,Commercial and Industrial Designers,Furniture and Industrial Structures Designer,Winder,GA,45906.0,H-1B
FY2025Q3,Cabal Sausage Co. LLC,CABAL SAUSAGE,15-1255,Web and Digital Interface Designers,E-Commerce Web Designer,Fredericksburg,VA,52811.0,H-1B
FY2025Q3,"Environmental Systems Research Institute, Inc.",ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE,15-1255,Web and Digital Interface Designers,Product Designer,Seattle,WA,104249.6,H-1B
FY2025Q3,Y&L TRADING LLC,Y&L TRADING,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,Bothell,WA,76960.0,H-1B
FY2025Q3,SONS OF SAWDUST LLC,SONS OF SAWDUST,27-1021,Commercial and Industrial Designers,DESIGNER,NASHVILLE,TN,48000.0,H-1B1 Chile
FY2025Q3,Kohn Pedersen Fox Associates PC,KOHN PEDERSEN FOX ASSOCIATES,15-1255,Web and Digital Interface Designers,EP Computation Specialist,New York,NY,92000.16,H-1B
FY2025Q3,Lux Beauty LLC,LUX BEAUTY,27-1024,Graphic Designers,Designer,Bellevue,WA,52686.399999999994,H-1B
FY2025Q3,Elite Lighting Corp,ELITE LIGHTING,27-1021,Commercial and Industrial Designers,Industrial Designer,Commerce,CA,60000.0,H-1B
FY2025Q3,IIT SYSTEMS LLC,IIT SYSTEMS,15-1255,Web and Digital Interface Designers,Web Designer,Santa Clarita,CA,114462.0,H-1B
FY2025Q3,Elivy Youth Performing Arts Institute,ELIVY YOUTH PERFORMING ARTS INSTITUTE,27-1024,Graphic Designers,Creative Content Designer,Chicago,IL,45760.0,H-1B
FY2025Q3,Eastern TV Broadcasting LLC,EASTERN TV BROADCASTING,15-1255,Web and Digital Interface Designers,Web and Digital Interface Designer,WASHINGTON,DC,52811.0,H-1B
FY2025Q3,DEEPCARE INC.,DEEPCARE,27-1024,Graphic Designers,UI/UX Designer,Los Angeles,CA,46508.799999999996,H-1B
FY2025Q3,"Anyone Media Network, Inc",ANYONE MEDIA NETWORK,15-1255,Web and Digital Interface Designers,Product Design Analyst,Plano,TX,51438.4,H-1B
FY2025Q3,KMC LUCAS Group Inc.,KMC LUCAS GROUP,27-1024,Graphic Designers,Art Producer,Menlo Park,CA,56077.0,H-1B
FY2025Q3,"Missouri Star Quilt Co., Inc.",MISSOURI STAR QUILT,15-1255,Web and Digital Interface Designers,Web & Digital Interface Designer,Corte Madera,CA,91894.0,H-1B
FY2025Q3,MAI Reality Inc,MAI REALITY,15-1255,Web and Digital Interface Designers,Digital Interface Designer,San Francisco,CA,93600.0,H-1B
FY2025Q3,"ektello, LLC",EKTELLO,15-1255,Web and Digital Interface Designers,UX/UI Designer 3,Mountain View,CA,114462.40000000001,H-1B
FY2025Q3,"American Regional Center for Entrepreneurs, Inc.",AMERICAN REGIONAL CENTER FOR ENTREPRENEURS,27-1024,Graphic Designers,Graphic Designer,Long Island City,NY,55000.0,H-1B
