employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
QUINCE CO,"Quince & Co, LLC",1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,San Francisco,68640,68640,68640
ROCKY MOUNTAIN INSTITUTE,"ROCKY MOUNTAIN INSTITUTE, INC.",1,1,FY2025Q4,no,13-1199,Sustainability Specialists,NY,New York,70939,70939,70939
SEOUL TONIC,Seoul Tonic,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",NY,New York,59000,59000,59000
STORYVILLE COFFEE COMPANY,STORYVILLE COFFEE COMPANY LLC,1,1,FY2025Q4,no,13-1199,Business Continuity Planners,TX,Jersey Village,60000,60000,60000
SUPERPOWER HEALTH,"Superpower Health, Inc.",1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",CA,San Francisco,75000,75000,75000
TAHOR HEALTH,Tahor Health LLC,1,1,FY2026Q1,no,13-1199,Business Continuity Planners,MD,Hyattsville,65000,65000,65000
TOP MANAGEMENT NEAR ME,Top Management Near Me LLC,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",NY,Elmhurst,60320,60320,60320
TRAILER PARK GROUP,Trailer Park Group,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,Los Angeles,50128,50128,50128
TRIPLE P AMERICA,TRIPLE P AMERICA INC,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",CA,San Francisco,75155,75155,75155
UNIVERSITY OF MARY WASHINGTON,University of Mary Washington,1,1,FY2026Q1,no,13-1199,Sustainability Specialists,VA,Fredericksburg,64667,64667,64667
UNIVERSITY OF SOUTH FLORIDA,University of South Florida,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",FL,Tampa,55080,55080,55080
UNIVERSITY OF WYOMING,University of Wyoming,1,1,FY2025Q4,no,13-1199,"Business Operations Specialists, All Other",WY,Laramie,56000,56000,56000
WENHAM CARTER CONSULTING,Wenham Carter Consulting Inc.,1,1,FY2026Q1,no,13-1199,"Business Operations Specialists, All Other",NY,Brooklyn,70000,70000,70000
