employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
STOCKTON DRUG,STOCKTON DRUG INC,1,1,FY2025Q4,no,13-1081,Logisticians,CA,Galt,61000.0,61000.0,61000.0
SUSTAINABLE PLASTIC TECHNOLOGY,Sustainable Plastic Technology Corp.,1,1,FY2025Q4,no,13-1081,Logisticians,NC,Apex,60000.0,60000.0,60000.0
SWEET APPAREL,Sweet Apparel Inc.,1,1,FY2026Q1,no,13-1081,Logistics Analysts,NY,New York,66560.0,66560.0,66560.0
TE CONNECTIVITY CORPORATION,TE Connectivity Corporation,1,1,FY2026Q1,no,13-1081,Logisticians,TX,El Paso,564000.0,564000.0,564000.0
TEMPLE UNIVERSITY HOSPITAL,TEMPLE UNIVERSITY HOSPITAL INC,1,1,FY2025Q4,no,13-1081,Logisticians,PA,Philadelphia,100402.0,100402.0,100402.0
TESLA,"Tesla, Inc.",1,1,FY2026Q1,no,13-1081,Logisticians,CA,Fremont,97000.0,97000.0,97000.0
TRANSCEND MANAGEMENT,Transcend Management,1,1,FY2026Q1,no,13-1081,Logisticians,CA,Santa Ana,57699.0,57699.0,57699.0
VALLEY FAB,Valley Fab Corp,1,1,FY2025Q4,no,13-1081,Logistics Engineers,OR,Brooks,,,
WANHUA CHEMICAL AMERICA,Wanhua Chemical (America),1,1,FY2025Q4,no,13-1081,Logistics Analysts,MA,Boston,69628.0,69628.0,69628.0
YQN TRANSPORT SERVICE,YQN TRANSPORT SERVICE LLC,1,1,FY2026Q1,no,13-1081,Logistics Engineers,TX,Katy,53955.0,53955.0,53955.0
ZERO GROUP CLUB,Zero Group Club LLC,1,1,FY2025Q4,no,13-1081,Logistics Analysts,NY,Long Island City,66560.0,66560.0,66560.0
ZPMC NORTH AMERICA,"ZPMC North America, Inc.",1,1,FY2025Q4,no,13-1081,Logistics Analysts,WA,Federal Way,81432.0,81432.0,81432.0
