employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
VALLEY OF THE SUN UNITED WAY,Valley of the Sun United Way,2,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,AZ,Phoenix,44720,44720,44720
13 SCENTS,13 Scents Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,70000,70000,70000
3AMIGOSIT,3AMIGOSIT LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,SC,PAWLEYS ISLAND,32500,32500,32500
ACC CAPITAL,ACC Capital,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,Cupertino,68390,68390,68390
ACCOMPANY CAPITAL,Accompany Capital Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,Jackson Heights,65000,65000,65000
ACMEFOG COMMERCE,Acmefog Commerce Inc.,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,TX,Richardson,58500,58500,58500
ADALLEN NUTRITION,Adallen Nutrition Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,Highland Park,61797,61797,61797
ADMARKETPLACE,Admarketplace Inc,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,80000,80000,80000
ADVISOR ASSOCIATION,Advisor Association LLC,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New Rochelle,70000,70000,70000
AFFINIPAY,"AffiniPay, LLC",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,TX,Austin,75000,75000,75000
AGENCY WITHIN,AGENCY WITHIN LLC,1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,Long Island City,70000,70000,70000
AIMA EBIKE,"AIMA EBIKE, INC.",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,City of Industry,68000,68000,68000
AL INTERNATIONAL,"Al International, LLC",1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,NJ,North Plainfield,62000,62000,62000
ALLIED TELESIS,Allied Telesis Inc.,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,CA,San Jose,98000,98000,98000
ALLURE MARKETING CONCEPTS,"Allure Marketing Concepts, Inc.",1,1,FY2026Q1,no,13-1161,Market Research Analysts and Marketing Specialists,NY,New York,62400,62400,62400
ALOHAWAII TRAVEL CORPORATION,Alohawaii Travel Corporation,1,1,FY2025Q4,no,13-1161,Market Research Analysts and Marketing Specialists,HI,Honolulu,60000,60000,60000
