employer,employer_display,filing_count,quarters_present,quarters,repeat_sponsor,soc_codes,soc_titles,worksite_states,worksite_cities,wage_annual_min,wage_annual_median,wage_annual_max
A MAX INSURANCE SERVICES,A-Max Insurance Services Inc,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,TX,Dallas,67000,67000,67000
A Z MORTGAGE,A-Z Mortgage Inc.,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,MD,Rockville,76066,76066,76066
ABACUS PLANNING GROUP,"Abacus Planning Group, Inc.",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,SC,Greenville,80417,80417,80417
ABIO X HOLDINGS,"ABio-X Holdings, Inc.",1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,MA,Needham,95000,95000,95000
ACE AUTO CLUB,ACE AUTO CLUB LLC,1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,CA,Los Angeles,72218,72218,72218
ADAPT DIGITAL,"Adapt Digital, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,DC,Washington,76066,76066,76066
ADVENTIST HEALTH SYSTEM WEST,Adventist Health System/West,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,Bakersfield,79000,79000,79000
AFFINITY INVESTMENT ADVISORS,"Affinity Investment Advisors, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,CA,Newport Beach,85000,85000,85000
AFYA GROUP,Afya Group LLC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NC,Charlotte,70700,70700,70700
AHRC NYC,AHRC NYC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
AKUNA CAPITAL,"Akuna Capital, LLC",1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,IL,Chicago,140000,140000,140000
ALCHATEK,"Alchatek, LLC",1,1,FY2026Q1,no,13-2051,Financial and Investment Analysts,GA,Tucker,68000,68000,68000
ALKALI PARTNERS,Alkali Partners LLC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NJ,Hoboken,110000,110000,110000
ALPHA SQUARE GROUP S,Alpha Square Group S LLC,1,1,FY2025Q4,no,13-2051,Financial and Investment Analysts,NY,New York,87838,87838,87838
